LOC_X,LOC_Y,SHOT_MADE_FLAG
-106,244,0
-96,97,0
30,23,0
-204,-1,0
-76,237,0
25,23,1
43,47,1
48,100,0
22,16,1
19,16,0
163,141,0
-222,129,1
125,160,1
-22,36,0
143,203,0
43,65,0
155,134,0
97,175,1
-99,141,0
-1,121,1
-9,8,0
-151,70,1
-27,56,0
135,90,0
-197,188,0
-207,149,0
81,139,0
-155,200,0
-4,61,0
135,232,0
0,1,1
0,1,1
-173,67,0
-178,80,0
-212,159,1
-6,56,0
222,115,1
122,213,1
-205,151,0
104,2,0
-173,185,0
-219,124,0
-19,2,1
238,-21,0
14,-6,0
-165,237,0
-237,21,0
-140,75,1
82,242,0
-212,164,0
-65,169,0
-243,105,0
69,61,0
-189,47,0
71,90,1
46,169,0
-243,115,0
232,62,1
225,-1,0
-48,278,1
-4,46,1
0,1,1
-246,-5,1
-34,257,0
150,2,1
-237,7,0
-92,242,1
-198,166,1
-86,47,0
-78,257,0
-210,170,1
-222,100,1
145,21,0
-217,16,1
51,144,1
222,56,0
-235,101,0
-158,213,1
-19,242,0
-145,208,0
-4,7,1
-250,67,1
-130,228,1
-129,237,1
191,151,0
-233,110,0
153,159,0
-225,134,0
-135,210,1
127,232,1
164,188,0
-114,85,0
-148,205,0
0,693,0
-138,0,0
120,223,0
32,10,0
230,0,0
-9,52,0
204,-10,1
-230,16,1
-243,11,1
130,41,0
0,3,1
-207,149,0
-14,18,1
223,70,1
158,210,0
225,-11,1
15,65,1
86,232,1
223,21,0
4,-1,0
-246,7,0
-219,159,1
50,115,1
-158,80,1
35,7,1
212,129,0
-30,19,0
-192,-16,0
-65,124,1
69,8,0
56,234,1
-196,100,0
-151,203,0
200,2,0
-150,228,1
110,228,1
-245,23,0
173,237,0
119,139,1
-179,146,1
-194,169,0
-238,121,0
4,31,0
-8,2,0
182,16,1
123,223,1
-194,174,0
232,-1,0
130,116,0
-9,-1,1
-24,-6,0
155,198,0
-2,-1,1
127,105,1
-174,100,0
191,124,0
-165,198,0
-34,26,0
225,61,1
-130,16,0
28,67,0
222,-6,0
210,120,0
228,31,0
2,65,0
-237,7,0
-202,156,1
-94,242,0
-168,193,0
230,38,0
87,146,0
19,247,1
164,180,0
186,169,1
235,11,1
125,224,1
1,254,0
-183,11,0
232,101,1
-166,218,0
-102,228,1
127,223,0
-91,234,1
-238,11,0
158,190,0
-8,275,0
135,224,0
74,57,1
0,126,0
233,51,0
99,144,1
230,77,0
-38,43,0
-202,16,0
-2,90,1
179,111,0
-233,7,1
-199,146,0
241,8,0
-225,139,0
-1,85,0
-11,144,1
-137,72,0
119,210,1
-125,223,0
169,146,0
223,7,1
-124,11,0
