IBU,ABV,Rating,Beer_Type
45,4.2,3.792,Stout
60,8.3,4.145,Stout
25,6.0,3.951,Stout
31,11.0,4.062,Stout
75,9.0,4.018,Stout
60,15.2,4.404,Stout
70,12.3,4.444,Stout
25,5.2,3.694,Stout
39,5.9,3.997,Stout
15,5.7,3.728,Stout
65,10.5,4.1,Stout
65,13.0,4.316,Stout
25,6.0,3.894,Stout
40,8.6,3.966,Stout
28,5.0,4.075,Stout
34,4.0,3.506,Stout
50,8.1,4.087,Stout
75,9.5,3.923,Stout
55,10.0,3.949,Stout
70,12.0,4.2,Stout
51,10.0,3.847,Stout
40,5.0,3.764,Stout
75,10.5,4.07,Stout
29,9.1,3.823,Stout
65,12.1,4.209,Stout
45,11.6,4.513999999999999,Stout
32,5.0,3.816,Stout
55,6.4,3.791,Stout
30,5.3,4.003,Stout
65,9.1,3.731,Stout
14,6.9,3.872,Stout
37,6.0,3.845,Stout
27,5.5,3.873,Stout
30,6.0,3.905,Stout
37,5.2,3.77,Stout
65,10.0,4.128,Stout
30,4.7,3.711,Stout
60,10.2,3.971,Stout
50,9.9,3.985,Stout
28,5.5,3.65,Stout
60,7.5,3.702,Stout
50,9.4,4.04,Stout
40,5.8,3.921,Stout
55,7.5,3.781,Stout
30,6.1,3.86,Stout
25,5.7,3.779,Stout
6,9.0,3.793,Stout
60,11.0,4.263,Stout
47,7.5,3.674,Stout
14,5.0,3.838,Stout
41,11.0,4.135,Stout
15,5.8,3.617,Stout
38,4.5,3.786,Stout
69,5.8,3.815,Stout
60,5.7,3.722,Stout
18,8.0,3.746,Stout
45,8.8,3.843,Stout
75,12.9,4.408,Stout
76,9.5,4.131,Stout
33,5.5,3.537,Stout
70,8.5,3.901,Stout
53,6.2,3.718,Stout
35,5.5,3.574,Stout
60,9.7,3.856,Stout
72,9.9,3.915,Stout
27,5.5,3.942,Stout
48,10.5,4.2010000000000005,Stout
40,10.5,3.829,Stout
45,10.2,3.919,Stout
70,18.0,4.248,Stout
50,10.7,4.0680000000000005,Stout
55,9.2,4.09,Stout
38,6.5,4.042,Stout
50,7.0,3.514,Stout
39,12.2,4.254,Stout
28,5.6,3.902,Stout
10,5.9,3.649,Stout
50,8.7,4.061,Stout
40,4.3,3.516,Stout
60,10.0,4.039,Stout
30,8.5,3.844,Stout
25,10.5,4.31,Stout
85,10.0,3.943,Stout
36,5.0,3.5580000000000003,Stout
26,6.0,3.762,Stout
21,5.5,3.686,Stout
11,5.0,3.837,Stout
35,7.0,3.778,Stout
12,7.8,3.905,Stout
25,9.0,3.564,Stout
60,6.5,3.719,Stout
15,5.0,3.992,Stout
30,8.0,3.639,Stout
65,8.7,3.958,Stout
28,4.9,3.525,Stout
70,11.8,4.198,Stout
70,12.0,4.376,Stout
30,7.4,3.81,Stout
20,7.5,3.671,Stout
65,10.0,3.911,Stout
30,5.5,3.67,Stout
60,13.4,4.541,Stout
17,6.4,3.673,Stout
70,17.5,4.292,Stout
17,5.0,3.718,Stout
75,9.5,4.063,Stout
23,5.5,3.934,Stout
25,5.0,3.624,Stout
30,5.0,3.698,Stout
50,8.0,3.892,Stout
50,7.0,3.795,Stout
32,5.8,3.739,Stout
70,12.2,4.375,Stout
55,9.2,3.993,Stout
66,8.1,3.89,Stout
30,5.7,3.799,Stout
70,10.0,4.004,Stout
31,6.5,3.616,Stout
26,7.0,3.876,Stout
55,11.0,4.075,Stout
60,10.0,3.998,Stout
60,8.0,4.003,Stout
50,8.5,3.568,Stout
50,8.25,3.903,Stout
36,7.45,3.822,Stout
18,8.5,3.989,Stout
10,4.2,3.592,Stout
86,11.0,4.157,Stout
50,5.8,3.5810000000000004,Stout
60,9.4,4.053,Stout
46,10.4,3.954,Stout
30,8.0,4.0360000000000005,Stout
55,9.7,3.834,Stout
80,10.2,4.459,Stout
10,6.0,3.803,Stout
60,10.5,4.303999999999999,Stout
90,10.0,3.92,Stout
21,5.2,3.748,Stout
36,7.0,3.736,Stout
36,7.8,3.863,Stout
33,8.5,4.228,Stout
60,14.7,4.475,Stout
25,5.4,3.692,Stout
55,8.1,3.776,Stout
45,11.5,4.103,Stout
65,16.9,4.3660000000000005,Stout
40,4.5,3.548,Stout
30,7.5,4.023,Stout
20,5.0,3.787,Stout
75,9.6,4.119,Stout
17,9.0,3.595,Stout
60,10.0,4.122,Stout
52,6.2,3.761,IPA
42,4.7,3.73,IPA
55,5.9,3.529,IPA
70,7.0,3.986,IPA
60,6.0,3.863,IPA
71,6.9,3.804,IPA
70,7.5,3.983,IPA
90,9.0,4.066,IPA
35,5.6,3.78,IPA
60,6.4,3.94,IPA
70,7.0,3.975,IPA
65,7.2,3.744,IPA
65,7.5,3.824,IPA
62,8.2,3.883,IPA
65,7.2,3.783,IPA
93,7.5,4.005,IPA
65,8.0,4.393,IPA
50,6.0,3.7,IPA
70,7.0,3.831,IPA
63,8.0,3.969,IPA
75,7.5,3.858,IPA
75,7.7,3.779,IPA
65,6.7,3.846,IPA
42,5.9,3.508,IPA
70,6.7,3.669,IPA
85,7.5,3.814,IPA
85,8.7,3.947,IPA
60,6.2,3.782,IPA
65,4.5,3.721,IPA
47,6.9,3.525,IPA
82,7.3,3.738,IPA
60,8.3,3.662,IPA
103,9.1,3.981,IPA
65,6.8,3.737,IPA
100,8.5,4.018,IPA
71,7.3,3.766,IPA
65,7.0,4.223,IPA
100,6.6,3.917,IPA
72,8.2,3.905,IPA
50,6.3,3.683,IPA
40,6.5,3.801,IPA
45,7.25,3.711,IPA
35,4.9,3.672,IPA
50,7.0,3.673,IPA
80,8.2,3.814,IPA
44,6.2,3.469,IPA
70,7.0,3.771,IPA
60,7.1,3.5980000000000003,IPA
87,7.5,3.976,IPA
55,6.2,3.618,IPA
75,7.2,3.8,IPA
50,5.5,3.783,IPA
120,18.0,4.253,IPA
70,7.0,3.798,IPA
40,5.2,3.452,IPA
40,6.7,3.798,IPA
90,7.5,4.47,IPA
45,7.5,3.798,IPA
50,6.0,3.536,IPA
45,7.0,3.969,IPA
90,8.2,4.502,IPA
50,7.2,3.764,IPA
47,4.0,3.7,IPA
66,9.7,3.863,IPA
75,6.9,3.646,IPA
88,6.8,3.792,IPA
85,9.5,4.103,IPA
30,5.4,3.4760000000000004,IPA
71,7.0,3.732,IPA
60,7.0,3.869,IPA
75,7.2,3.848,IPA
70,7.0,3.751,IPA
70,6.1,4.177,IPA
40,5.7,3.665,IPA
31,4.0,3.654,IPA
75,8.5,3.91,IPA
45,5.5,3.723,IPA
80,9.0,4.026,IPA
78,7.8,3.931,IPA
70,7.0,3.5580000000000003,IPA
70,6.43,3.727,IPA
47,9.0,3.73,IPA
65,7.1,3.652,IPA
60,6.2,3.705,IPA
55,6.7,3.616,IPA
75,6.5,3.749,IPA
86,9.4,3.972,IPA
75,6.7,3.735,IPA
102,10.0,4.041,IPA
40,7.0,3.685,IPA
70,10.0,4.063,IPA
76,7.77,3.894,IPA
81,6.7,3.738,IPA
55,5.6,3.596,IPA
65,6.8,4.239,IPA
80,5.9,3.739,IPA
44,5.8,3.022,IPA
50,7.0,3.689,IPA
65,6.3,3.621,IPA
78,6.25,3.752,IPA
40,3.8,3.641,IPA
77,6.9,3.72,IPA
66,7.0,3.588,IPA
50,6.5,3.665,IPA
57,5.7,3.572,IPA
70,6.6,3.779,IPA
80,7.6,3.767,IPA
95,7.0,3.865,IPA
70,7.3,4.047,IPA
40,7.2,3.778,IPA
110,10.8,4.166,IPA
80,6.6,4.178999999999999,IPA
69,6.5,3.617,IPA
65,6.6,3.702,IPA
42,7.5,3.787,IPA
250,7.2,3.846,IPA
40,4.5,3.59,IPA
90,8.7,3.962,IPA
70,6.8,3.736,IPA
60,7.0,3.631,IPA
80,6.4,3.671,IPA
47,5.9,3.488,IPA
73,7.25,3.902,IPA
50,4.5,3.641,IPA
70,7.7,3.605,IPA
85,8.0,3.883,IPA
90,9.0,3.927,IPA
80,7.0,3.56,IPA
90,10.0,3.513,IPA
78,8.0,3.836,IPA
40,5.5,3.5210000000000004,IPA
70,6.5,3.684,IPA
70,6.5,3.66,IPA
65,8.2,3.834,IPA
70,7.7,3.751,IPA
50,6.5,3.912,IPA
90,10.0,3.924,IPA
87,6.2,3.797,IPA
49,7.5,3.878,IPA
70,9.3,4.031000000000001,IPA
85,10.0,3.831,IPA
60,6.2,3.568,IPA
72,8.7,3.988,IPA
55,5.9,3.671,IPA
46,6.2,3.686,IPA
52,6.3,3.4560000000000004,IPA
65,6.6,4.125,IPA
112,12.0,3.967,IPA
80,9.5,3.871,IPA
62,6.8,4.073,IPA
84,8.0,3.91,IPA
85,8.4,3.5860000000000003,IPA
70,6.5,3.84,IPA
60,7.0,3.617,IPA
80,7.0,4.102,IPA
110,8.0,4.356,IPA
50,7.0,3.701,IPA
45,6.1,3.65,IPA
65,6.2,3.845,IPA
100,9.0,4.265,IPA
69,8.5,4.091,IPA
45,5.9,3.275,IPA
70,6.9,3.752,IPA
70,7.3,3.874,IPA
35,6.8,3.701,IPA
60,7.0,3.927,IPA
75,7.5,3.981,IPA
60,5.25,3.863,IPA
60,7.0,3.743,IPA
100,9.2,4.244,IPA
